"","species","mean.Topt","mean.Topt.lci","mean.Topt.uci","mean.Popt","mean.Popt.lci","mean.Popt.uci","mean.Tomeg","mean.Tomeg.lci","mean.Tomeg.uci","mn.elw","mn.elw.lci","mn.elw.uci","area","area.lci","area.uci","bio2","bio2.lci","bio2.uci","bio3","bio3.lci","bio3.uci","bio4","bio4.lci","bio4.uci","bio5","bio5.lci","bio5.uci","bio12","bio12.lci","bio12.uci"
"1","Scalesia affinis",24.9425787433333,21.423938214,29.988247124,14.7188231782222,8.1970890904,20.813144246,15.7043523787778,10.1686825292,24.40546072,4.44830307930269,3.71344766308762,6.17585574756893,27.3427777777778,21.3166,37.6652,67.6694214876033,62,70,58.297520661157,52,61,1547.93801652893,1410,1780,293.487603305785,274,306.975,752.46694214876,309,1111
"2","Scalesia aspera",27.6494917066667,26.9757816745,28.375537885,15.9440968433333,11.9851706285,19.2823444675,13.2391939836667,9.78155522695,16.188333376,3.32786931467981,2.94790249914067,3.72979242339109,16.0683333333333,12.0116,20.12365,71.875,70,73,58.875,57,60,1632.75,1578,1724,301.375,297,304,416.25,321,575
"3","Scalesia cordata",23.9779046166667,23.348677497,24.7604779215,13.94181212,12.7394982205,15.425372753,16.5366924,12.335341949,22.9036119995,8.62200795403143,6.28622114396975,11.1074855848466,92.1486666666667,47.17095,136.5175,67.0877192982456,66,69,57.3684210526316,57,58,1548.9298245614,1529,1598.8,291.59649122807,266,302,544.157894736842,386,994
"4","Scalesia crockeri",28.8769689633333,28.254249347,29.556918037,10.5064154126667,9.5313683332,12.09928350605,20.5600460366667,17.792181433,24.6891823735,2.6166833745222,2.39953312589214,2.76708084593115,7.67566666666667,6.69355,8.85385,75.8333333333333,73.825,76.725,62.75,60.825,63,1539.5,1513.35,1575.7,305.833333333333,303.825,306.725,249.25,230.675,309.7
"5","Scalesia divisa",30.19152982,29.3190030705,31.0640565695,22.05985831,19.7285807205,24.3911358995,12.050488955,11.64654247125,12.45443543875,3.82846068555577,3.14896954210675,4.31273071241044,17.7193333333333,14.8674,20.7764,62.9847328244275,63,63,55.8625954198473,55,56,1695.79389312977,1690,1730,296.75572519084,295,297,640.450381679389,612,666
"6","Scalesia gordilloi",28.9526268233333,28.1026909935,29.8706806275,24.7490662833333,23.8312706175,26.197123742,11.969229716,8.9518286231,13.6530949265,3.82960691622772,2.8859296125492,4.66027060899418,18.079,10.5352,26.0648,62.8095238095238,62,63,54.8095238095238,54,55,1737,1729,1771,294.238095238095,291,295,605.047619047619,570,754
"7","Scalesia helleri",25.8339363433333,23.9959386545,27.3066153145,18.97353944,16.625269512,23.156768526,17.4458462166667,16.462433862,18.3445870765,0.72861436221134,0.654703530341282,0.823644127858764,55.731,41.85865,79.60785,64,64,64,53.25,53,53.925,1780.5,1780,1781.85,301,298.3,302,471.25,458,507.025
"8","Scalesia incisa",27.8924476025,27.2344403185,29.16025149525,18.867142725,17.23994784875,20.53191927175,14.902540725,12.15821395575,18.84793642375,1.87935668861678,1.60566491468026,2.14203885823608,14.87625,10.410975,19.2493,62.62,62,63,55.6175,55,56,1717.3425,1702,1743,293.9175,292,295,703.495,677,744
"9","Scalesia pedunculata",24.9677066444444,22.853895856,26.966945212,21.14097069,18.40983914,23.897824776,12.0871814157778,5.2467897782,17.9587691,5.88807967634211,3.45347420157008,8.93202338013337,48.7064444444444,21.7392,95.1498,66.8908614668219,62,68,54.6466821885914,53,56,1784.30325960419,1753,1808,277.204307334109,272,289,1066.73894062864,666,1168
"10","Scalesia retroflexa",21.089853435,20.76279151525,21.41691535475,21.075687695,19.22012677125,22.93124861875,12.8509520175,9.599528945125,16.102375089875,1.01581632401974,0.90666188190675,1.14242745825809,17.2325,15.149625,19.315375,65.125,64,67,54.125,53,56,1742,1702,1766,303.75,303,305,399.625,359,424
"11","Scalesia villosa",24.475815415,23.57068731125,25.38094351875,23.58300468,22.913711098,24.252298262,12.005137965,11.40912439525,12.60115153475,2.02016084706729,1.83526423427978,2.15210027414164,11.146,9.16225,13.14845,61.8461538461538,61,62,52,52,52,1785.19230769231,1763,1823,298.846153846154,291,301,370.5,315,552
